K_,AUC_test,AUC_train,Accuracy_test,Accuracy_train,F1_Score_test,F1_Score_train,Recall_test,Recall_train,FPR_test,TPR_test
5,0.7480007488003955,0.7449550519818123,0.7605020491803278,0.7579560735096369,0.7009913655260633,0.6968724939855654,0.6719803801348866,0.6657983450812136,[0.         0.17597888 1.        ],[0.         0.67198038 1.        ]
3,0.7423517025902938,0.7433289779881852,0.7494877049180327,0.7504002049049113,0.6998158379373849,0.701027764994631,0.6989576946658492,0.7002758197977321,[0.         0.21425429 1.        ],[0.         0.69895769 1.        ]
2,0.7492534866059101,0.7409766238013125,0.7697233606557377,0.7623103028750721,0.6939053455907388,0.6824093086926762,0.6243872549019608,0.6111877394636015,[0.         0.12588028 1.        ],[0.         0.62438725 1.        ]
1,0.7372223911561985,0.7442169532327665,0.758258642765685,0.7654969262295082,0.6780354706684857,0.686579938377268,0.6090686274509803,0.6147126436781609,[0.         0.13462385 1.        ],[0.         0.60906863 1.        ]
4,0.7333067548754971,0.74166580507042,0.7592213114754098,0.7664084011013639,0.6664300922640171,0.6789297658862876,0.5757204169221337,0.591020533251609,[0.         0.10910691 1.        ],[0.         0.57572042 1.        ]
