K_,AUC_test,AUC_train,Accuracy_test,Accuracy_train,F1_Score_test,F1_Score_train,Recall_test,Recall_train,FPR_test,TPR_test
2,0.759169600938967,0.7516523725965144,0.7794569672131147,0.7721713517320868,0.7066439522998297,0.6968819219628557,0.6354166666666666,0.6268199233716475,[0.         0.11707746 1.        ],[0.         0.63541667 1.        ]
5,0.7559969443764847,0.7551572139810321,0.7753586065573771,0.7752449254018057,0.7036160865157147,0.7017841971112999,0.6382587369711833,0.6328532025743181,[0.         0.12626485 1.        ],[0.         0.63825874 1.        ]
3,0.7528189934191343,0.7523675468118136,0.774077868852459,0.7730037779343024,0.6975308641975309,0.6976545842217484,0.6235438381361128,0.6267238737358259,[0.         0.11790585 1.        ],[0.         0.62354384 1.        ]
1,0.749972368511857,0.7572845612540045,0.7697823303457106,0.7769595286885246,0.6955638333897731,0.7049055324917394,0.6292892156862745,0.6375478927203065,[0.         0.12934448 1.        ],[0.         0.62928922 1.        ]
4,0.7416751927230412,0.7553279516239468,0.7633196721311475,0.775821220464878,0.6829100892244337,0.7015599693120791,0.6100551808706315,0.6305547042598836,[0.        0.1267048 1.       ],[0.         0.61005518 1.        ]
