K_,AUC_test,AUC_train,Accuracy_test,Accuracy_train,F1_Score_test,F1_Score_train,Recall_test,Recall_train,FPR_test,TPR_test
1,0.8927435938079586,0.9999233716475096,0.8975672215108835,0.9999359631147541,0.8756991920447483,0.9999233657751552,0.8633578431372549,0.9998467432950191,[0.         0.07787066 1.        ],[0.         0.86335784 1.        ]
5,0.8879628987746486,0.9999233833895189,0.8929303278688525,0.9999359672152142,0.8700248756218906,0.9999233775189641,0.8577559779276518,0.9998467667790377,[0.         0.08183018 1.        ],[0.         0.85775598 1.        ]
2,0.887090927920464,0.9999450065992082,0.8908811475409836,0.9999359672152142,0.8687615526802218,0.9999233775189641,0.8639705882352942,1.0,[0.         0.08978873 1.        ],[0.         0.86397059 1.        ]
3,0.8866102836513082,0.9999233833895189,0.8921618852459017,0.9999359672152142,0.8685607243209491,0.9999233775189641,0.8528510116492949,0.9998467667790377,[0.         0.07963044 1.        ],[0.         0.85285101 1.        ]
4,0.8813051569311375,0.9999233833895189,0.8872950819672131,0.9999359672152142,0.8623279098873592,0.9999233775189641,0.8448804414469651,0.9998467667790377,[0.         0.08227013 1.        ],[0.         0.84488044 1.        ]
