K,AUC_test,AUC_train,Accuracy_test,Accuracy_train,F1_Score_test,F1_Score_train,Recall_test,Recall_train,FPR_test,TPR_test
2,0.9199418323667495,0.988538996010134,0.9223872950819673,0.9889223282320548,0.9069696039299969,0.9867361803266119,0.9050245098039216,0.9862068965517241,"[np.float64(0.0), np.float64(0.06514084507042253), np.float64(1.0)]","[np.float64(0.0), np.float64(0.9050245098039216), np.float64(1.0)]"
3,0.9157943474741339,0.9889343988876996,0.9177766393442623,0.9893065249407696,0.9018048332823494,0.9871981602146416,0.9037400367872471,0.9866687097762795,"[np.float64(0.0), np.float64(0.07215134183897932), np.float64(1.0)]","[np.float64(0.0), np.float64(0.9037400367872471), np.float64(1.0)]"
5,0.909789513179939,0.9883214660038506,0.9123975409836066,0.9887942626624832,0.8950276243093923,0.9865766664109841,0.8939301042305334,0.9854428440085811,"[np.float64(0.0), np.float64(0.07435107787065552), np.float64(1.0)]","[np.float64(0.0), np.float64(0.8939301042305334), np.float64(1.0)]"
4,0.9079641773459288,0.9890895452062947,0.9118852459016393,0.9895626560799129,0.8934324659231723,0.9874952052167242,0.8841201716738197,0.9862090101133926,"[np.float64(0.0), np.float64(0.06819181698196217), np.float64(1.0)]","[np.float64(0.0), np.float64(0.8841201716738197), np.float64(1.0)]"
1,0.9065303585138412,0.988461865572915,0.9090909090909091,0.9888575819672131,0.8912044131167637,0.986658487961969,0.8909313725490197,0.9860536398467433,"[np.float64(0.0), np.float64(0.07787065552133744), np.float64(1.0)]","[np.float64(0.0), np.float64(0.8909313725490197), np.float64(1.0)]"
