K_,AUC_test,AUC_train,Accuracy_test,Accuracy_train,F1_Score_test,F1_Score_train,Recall_test,Recall_train,FPR_test,TPR_test
3,0.9056918810453964,0.9711621179834784,0.9103483606557377,0.9724659025421015,0.8910336239103362,0.966928164897708,0.8773758430410791,0.9632240269690469,[0.         0.06599208 1.        ],[0.         0.87737584 1.        ]
1,0.9030818140058486,0.9712495242863664,0.9067861715749039,0.9727202868852459,0.887584928968499,0.9671903881700554,0.8805147058823529,0.9622988505747126,[0.         0.07435108 1.        ],[0.         0.88051471 1.        ]
2,0.901460231980116,0.9719970737611103,0.9036885245901639,0.9734904270986745,0.8851557727550398,0.9681047765793529,0.8878676470588235,0.962911877394636,[0.         0.08494718 1.        ],[0.         0.88786765 1.        ]
5,0.9006254749123545,0.9739260552536981,0.9039446721311475,0.9751552795031055,0.8845087773329227,0.9701584371635134,0.8804414469650521,0.9664419246092553,[0.        0.0791905 1.       ],[0.         0.88044145 1.        ]
4,0.8962400293693757,0.9730301861860328,0.8998463114754098,0.9745149516552475,0.8794326241134752,0.9693374422187981,0.874310239117106,0.9639901930738584,[0.         0.08183018 1.        ],[0.         0.87431024 1.        ]
