K,AUC_test,AUC_train,Accuracy_test,Accuracy_train,F1_Score_test,F1_Score_train,Recall_test,Recall_train,FPR_test,TPR_test
3,0.8535509889640956,0.9613242957365095,0.8586065573770492,0.9629250176090158,0.8294190358467244,0.955458112162474,0.8228080931943593,0.9515783021759118,"[np.float64(0.0), np.float64(0.11570611526616806), np.float64(1.0)]","[np.float64(0.0), np.float64(0.8228080931943593), np.float64(1.0)]"
2,0.8511978735156034,0.9598698615936203,0.8555327868852459,0.9619645258372287,0.8267813267813268,0.9541454377026402,0.8247549019607843,0.9471264367816092,"[np.float64(0.0), np.float64(0.12235915492957747), np.float64(1.0)]","[np.float64(0.0), np.float64(0.8247549019607843), np.float64(1.0)]"
1,0.8500936505266427,0.9596230198617554,0.8550576184379002,0.9614497950819673,0.8254164096236891,0.9536209553158705,0.8198529411764706,0.9485057471264368,"[np.float64(0.0), np.float64(0.11966564012318522), np.float64(1.0)]","[np.float64(0.0), np.float64(0.8198529411764706), np.float64(1.0)]"
5,0.8466873000377907,0.9604363656026327,0.8537397540983607,0.9620925914068003,0.8211713122455371,0.9544475223145583,0.8038013488657265,0.9503524364082133,"[np.float64(0.0), np.float64(0.11042674879014518), np.float64(1.0)]","[np.float64(0.0), np.float64(0.8038013488657265), np.float64(1.0)]"
4,0.8358360332137212,0.9567037688495319,0.8422131147540983,0.9589549849522956,0.8084577114427861,0.9504981079620047,0.7970570202329859,0.9429972418020227,"[np.float64(0.0), np.float64(0.12538495380554335), np.float64(1.0)]","[np.float64(0.0), np.float64(0.7970570202329859), np.float64(1.0)]"
